Freq.(kHz),Phase(in/out),Vin,Std.Dev,Vout,Std.Dev,AmplitudeRatio(Vout/Vin)
5.938,out,2.03,11.466,1.858,9.143,0.915270936
12.08,in,1.953,11.064,1.816,10.045,0.92985151
18,out,2.066,8.183,1.782,9.163,0.862536302
23.73,in,2.13,9.156,1.76,8.878,0.82629108
29.7,out,1.904,9.653,1.691,8.902,0.888130252
35.72,in,2.217,9.02,1.634,8.82,0.737032025
41.47,out,1.996,8.604,1.596,10.525,0.799599198
47.3,in,1.965,10.02,1.532,10.163,0.779643766
52.95,out,2.163,9.695,1.491,9.376,0.689320388
58.78,in,2.015,12.897,1.363,7.031,0.676426799
63.54,out,1.966,9.734,1.429,7.071,0.726856562
69.36,in,2.045,10.78,1.311,11.878,0.641075795
74.98,out,2.197,8.456,1.16,11.298,0.527992717
79.76,in,2.03,11.873,1.262,8.444,0.621674877
84.38,out,2.35,9.332,1.235,12.387,0.525531915
89.12,in,1.802,10.79,1.127,10.417,0.625416204
94.76,out,2.697,8.476,0.928,12.407,0.344086022
99.18,in,2.216,9.515,1.039,11.383,0.468862816
104,out,1.972,7.8,0.845,10.212,0.428498986
107.6,in,1.919,10.123,0.962,12.417,0.501302762
111.4,out,2.101,9.523,0.909,11.25,0.432651119
115,in,2.397,9.997,0.751,14.318,0.313308302
119.5,out,2.693,9.202,0.471,13.416,0.174897883
123.8,in,2.898,10.613,0.461,14.249,0.159075224
126.9,out,1.74,9.251,0.597,12.279,0.343103448
129.6,in,2.361,10.987,0.566,13.329,0.239728928
132.7,out,2.806,10.317,0.445,14.718,0.158588738
135.5,in,2.636,10.711,0.405,15.607,0.153641882
138.1,out,2.68,9.878,0.392,13.847,0.146268657
140.5,in,2.84,6.334,0.269,13.785,0.09471831
142.7,out,2.833,9.234,0.313,14.034,0.110483586